2021-05-28 17:18:10.175 [background-preinit] INFO  org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
2021-05-28 17:18:10.212 [main] INFO  com.x.lfs.Application Starting Application using Java 11.0.10 on DESKTOP-6STQ666 with PID 16776 (C:\workspace\littlefish\lfs\target\classes started by 老徐 in C:\workspace\littlefish\lfs)
2021-05-28 17:18:10.217 [main] INFO  com.x.lfs.Application The following profiles are active: dev
2021-05-28 17:18:12.651 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-28 17:18:12.654 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2021-05-28 17:18:12.724 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 61 ms. Found 0 MongoDB repository interfaces.
2021-05-28 17:18:12.756 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-28 17:18:12.759 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-28 17:18:12.829 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 37 ms. Found 0 Redis repository interfaces.
2021-05-28 17:18:13.425 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$b6b4f028] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-05-28 17:18:13.536 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'shiroConfig' of type [com.x.lfs.config.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$2561f63f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-05-28 17:18:13.726 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$b9482ecd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
