2022-06-09 09:07:47.575 [springSessionRedisMessageListenerContainer-6] WARN  o.s.s.data.redis.RedisIndexedSessionRepository Unable to publish SessionDestroyedEvent for session 4d63e9b4-d591-465f-bf6e-4bb6efcd1359
2022-06-09 09:12:01.904 [background-preinit] INFO  org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
2022-06-09 09:12:02.461 [main] INFO  com.x.Application Starting Application using Java 11.0.10 on DESKTOP-6STQ666 with PID 28784 (C:\workspace\littlefish\lfs_admin_server\target\classes started by 老徐 in C:\workspace\littlefish\lfs_admin_server)
2022-06-09 09:12:02.472 [main] INFO  com.x.Application The following profiles are active: dev
2022-06-09 09:12:08.577 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-09 09:12:08.585 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-06-09 09:12:08.733 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 130 ms. Found 0 MongoDB repository interfaces.
2022-06-09 09:12:08.785 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-09 09:12:08.790 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-09 09:12:08.936 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 98 ms. Found 0 Redis repository interfaces.
2022-06-09 09:12:10.162 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$4d273418] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:10.346 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'shiroConfig' of type [com.x.config.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$c7642bfa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:10.726 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$4fba72bd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:11.295 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'spring.redis-org.springframework.boot.autoconfigure.data.redis.RedisProperties' of type [org.springframework.boot.autoconfigure.data.redis.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:11.308 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.boot.autoconfigure.data.redis.LettuceConnectionConfiguration' of type [org.springframework.boot.autoconfigure.data.redis.LettuceConnectionConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:12.101 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'lettuceClientResources' of type [io.lettuce.core.resource.DefaultClientResources] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:12.492 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:12.782 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'shiroRedisTemplate' of type [org.springframework.data.redis.core.RedisTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:12.959 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'shiroRedisCacheManager' of type [com.x.config.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-09 09:12:12.980 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
